engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,seats,body_type,city,mileage_numeric,car_age,price_in_lakhs,brand,model
936.0,Third Party insurance,Manual,70000.0,Second Owner,Diesel,5,Hatchback,Agra,25.44,13,2.2,Chevrolet,Beat
1498.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,5,Sedan,Agra,25.83,8,6.0,Ford,Aspire
2179.0,Third Party insurance,Manual,50000.0,First Owner,Diesel,7,SUV,Agra,16.0,9,9.0,Mahindra,XUV500
1197.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,5,Hatchback,Agra,20.52,6,4.95,Maruti,Wagon
1197.0,Third Party insurance,Automatic,60000.0,First Owner,Petrol,5,SUV,Agra,16.5,3,9.8,Mahindra,XUV300
1353.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,5,SUV,Agra,16.2,6,13.75,Kia,Seltos
998.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Hatchback,Agra,20.51,10,3.4,Maruti,Wagon
1451.0,Third Party insurance,Automatic,40000.0,Second Owner,Petrol,5,SUV,Agra,13.96,5,13.0,MG,Hector
1198.0,Third Party insurance,Manual,70000.0,First Owner,Petrol,5,SUV,Agra,17.0,6,6.0,Tata,Nexon
1198.0,Third Party insurance,Manual,60000.0,First Owner,Petrol,5,Hatchback,Agra,19.4,13,3.0,Honda,Brio
1461.0,Third Party insurance,Manual,150000.0,Second Owner,Diesel,5,Sedan,Agra,21.8,12,5.0,Renault,Fluence
1496.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Sedan,Agra,17.1,5,10.99,Toyota,Yaris
1497.0,Third Party insurance,Manual,90000.0,Second Owner,Petrol,5,Sedan,Agra,17.0,14,3.5,Honda,City
999.0,Third Party insurance,Manual,20000.0,First Owner,Petrol,7,MUV,Agra,20.0,6,4.35,Renault,Triber
998.0,Third Party insurance,Manual,100000.0,Second Owner,Petrol,5,Hatchback,Agra,18.9,13,1.86,Maruti,Wagon
1196.0,Third Party insurance,Manual,20000.0,First Owner,CNG,5,Minivans,Agra,20.88,3,6.25,Maruti,Eeco
1196.0,Third Party insurance,Manual,20000.0,First Owner,CNG,5,Minivans,Agra,20.88,3,6.25,Maruti,Eeco
1461.0,Third Party insurance,Manual,120000.0,Second Owner,Diesel,5,SUV,Agra,19.01,13,4.5,Renault,Duster
1396.0,Third Party insurance,Manual,80000.0,First Owner,Diesel,5,Hatchback,Agra,22.54,8,6.5,Hyundai,i20
998.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Hatchback,Agra,26.6,7,3.5,Maruti,Wagon
1197.0,Third Party insurance,Manual,50000.0,First Owner,Petrol,5,Hatchback,Agra,20.36,16,1.3,Hyundai,i10
1248.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,5,Hatchback,Agra,25.2,8,5.0,Maruti,Swift
1493.0,Third Party insurance,Manual,10000.0,First Owner,Diesel,7,SUV,Agra,16.0,4,9.5,Mahindra,Bolero
1582.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,5,SUV,Agra,19.67,8,7.0,Hyundai,Creta
1399.0,Third Party insurance,Manual,120000.0,Third Owner,Diesel,5,Sedan,Agra,17.8,16,1.4,Ford,Fiesta
2179.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,7,SUV,Agra,11.57,15,2.0,Tata,New
999.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,5,Hatchback,Agra,24.04,7,3.2,Renault,KWID
1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Hatchback,Agra,20.36,14,2.0,Hyundai,i10
1197.0,Third Party insurance,Manual,90000.0,Second Owner,Petrol,5,Hatchback,Agra,18.6,10,4.1,Hyundai,i20
1197.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,5,Hatchback,Agra,21.21,9,4.4,Maruti,Swift
1368.0,Third Party insurance,Automatic,20000.0,First Owner,Petrol,5,SUV,Agra,14.1,3,25.0,Jeep,Compass
1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Sedan,Agra,21.21,6,6.5,Maruti,Swift
1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,21.01,5,6.3,Toyota,Glanza
1364.0,Third Party insurance,Manual,150000.0,Fourth Owner,Diesel,5,Sedan,Agra,23.59,13,2.0,Toyota,Etios
1196.0,Third Party insurance,Manual,100000.0,Second Owner,Petrol,7,Minivans,Agra,15.37,7,3.5,Maruti,Eeco
1498.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,Sedan,Agra,27.4,9,4.0,Honda,Amaze
1199.0,Third Party insurance,Manual,90000.0,First Owner,Petrol,5,Hatchback,Agra,18.6,14,1.5,Chevrolet,Beat
1498.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,Sedan,Agra,27.4,9,4.25,Honda,Amaze
1248.0,Third Party insurance,Manual,80000.0,Second Owner,Diesel,5,Sedan,Agra,26.59,9,4.25,Maruti,Swift
1197.0,Third Party insurance,Manual,70000.0,Second Owner,Petrol,5,Sedan,Agra,20.85,8,4.0,Maruti,Swift
1197.0,Third Party insurance,Manual,30000.0,Second Owner,Petrol,5,Hatchback,Agra,21.21,9,4.6,Maruti,Swift
1198.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,6,SUV,Agra,25.32,8,3.3,Mahindra,KUV
999.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,SUV,Agra,18.75,4,4.7,Nissan,Magnite
1582.0,Third Party insurance,Automatic,70000.0,Second Owner,Diesel,5,SUV,Agra,17.6,7,11.5,Hyundai,Creta
1462.0,Third Party insurance,Manual,60000.0,Second Owner,Petrol,5,Sedan,Agra,20.65,5,7.25,Maruti,Ciaz
1396.0,Third Party insurance,Manual,80000.0,Third Owner,Diesel,5,Hatchback,Agra,21.19,10,4.0,Hyundai,i20
1120.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,Hatchback,Agra,24.0,12,2.5,Hyundai,Grand
1498.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,SUV,Agra,15.43,3,14.5,MG,Astor
1197.0,Third Party insurance,Manual,40000.0,First Owner,Petrol,5,Hatchback,Agra,18.6,5,6.9,Hyundai,i20
1197.0,Third Party insurance,Manual,120000.0,Fourth Owner,Petrol,5,Hatchback,Agra,18.6,10,3.5,Hyundai,i20
998.0,Third Party insurance,Manual,150000.0,First Owner,CNG,5,Hatchback,Agra,28.073741935483874,5,3.42,Maruti,Celerio
1197.0,Third Party insurance,Manual,120000.0,Fourth Owner,Petrol,5,Hatchback,Agra,18.6,10,3.5,Hyundai,i20
1396.0,Third Party insurance,Manual,80000.0,Third Owner,Diesel,5,Hatchback,Agra,21.19,10,4.0,Hyundai,i20
1248.0,Third Party insurance,Manual,80000.0,Third Owner,Diesel,7,MUV,Agra,20.77,12,4.25,Maruti,Ertiga
1968.0,Third Party insurance,Automatic,80000.0,Second Owner,Diesel,5,SUV,Agra,15.73,11,11.0,Audi,Q3
1199.0,Third Party insurance,Manual,10000.0,First Owner,Petrol,5,SUV,Agra,20.09,3,6.0,Tata,Punch
1197.0,Third Party insurance,Manual,150000.0,Third Owner,Petrol,5,Hatchback,Agra,18.5,16,1.5,Hyundai,i20
2354.0,Third Party insurance,Automatic,150000.0,Second Owner,Petrol,5,SUV,Agra,10.1,21,1.7,Honda,CR-V
998.0,Third Party insurance,Manual,70000.0,Fourth Owner,CNG,5,Hatchback,Agra,26.2,14,1.6,Maruti,Wagon
1197.0,Third Party insurance,Manual,150000.0,Second Owner,Petrol,5,Hatchback,Agra,18.5,16,1.4,Hyundai,i20
1199.0,Third Party insurance,Manual,90000.0,Third Owner,Diesel,5,Hatchback,Agra,20.86,14,1.4,Skoda,Fabia
2184.0,Third Party insurance,Manual,50000.0,Second Owner,Diesel,4,SUV,Agra,15.2,4,15.0,Mahindra,Thar
998.0,Third Party insurance,Manual,60000.0,First Owner,Petrol,5,Hatchback,Agra,18.9,14,2.25,Maruti,Wagon
1197.0,Third Party insurance,Manual,40000.0,Second Owner,Petrol,5,Hatchback,Agra,18.6,6,5.5,Hyundai,i20
998.0,Third Party insurance,Manual,60000.0,First Owner,Petrol,5,Hatchback,Agra,19.0,16,1.4,Maruti,A-Star
998.0,Third Party insurance,Manual,20000.0,First Owner,CNG,5,Hatchback,Agra,26.6,8,4.0,Maruti,Wagon
1582.0,Third Party insurance,Manual,90000.0,First Owner,Diesel,5,Sedan,Agra,22.0,7,9.0,Hyundai,Verna
1497.0,Third Party insurance,Manual,80000.0,First Owner,Petrol,5,Sedan,Agra,17.0,15,3.15,Honda,City
1498.0,Third Party insurance,Manual,120000.0,First Owner,Diesel,5,SUV,Agra,22.7,12,3.5,Ford,Ecosport
814.0,Third Party insurance,Manual,100000.0,Second Owner,Petrol,5,Hatchback,Agra,21.1,12,1.4,Hyundai,EON
1197.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,21.01,4,7.0,Maruti,Baleno
1462.0,Third Party insurance,Automatic,50000.0,First Owner,Petrol,5,SUV,Agra,18.76,5,8.8,Toyota,Urban
1995.0,Third Party insurance,Automatic,100000.0,Second Owner,Diesel,5,Sedan,Agra,13.2,15,10.0,BMW,3
1197.0,Third Party insurance,Manual,120000.0,First Owner,Petrol,5,Hatchback,Agra,16.6,15,2.15,Maruti,Swift
1461.0,Third Party insurance,Manual,150000.0,First Owner,Diesel,5,SUV,Agra,19.01,12,5.0,Renault,Duster
2499.0,Third Party insurance,Manual,150000.0,Second Owner,Diesel,7,MUV,Agra,14.8,13,2.4,Chevrolet,Tavera
1248.0,Third Party insurance,Manual,90000.0,Third Owner,Diesel,5,Sedan,Agra,23.0,9,3.2,Tata,Zest
998.0,Third Party insurance,Manual,150000.0,Third Owner,Petrol,5,Hatchback,Agra,18.9,13,2.0,Maruti,Wagon
998.0,Third Party insurance,Manual,30000.0,First Owner,Petrol,5,Hatchback,Agra,20.51,8,4.0,Maruti,Wagon
1248.0,Third Party insurance,Manual,100000.0,Second Owner,Diesel,5,Hatchback,Agra,21.1,15,1.25,Maruti,Ritz
1197.0,Third Party insurance,Manual,50000.0,First Owner,Petrol,5,Hatchback,Agra,18.6,7,5.0,Hyundai,i20
1047.0,Third Party insurance,Manual,70000.0,First Owner,Diesel,5,Hatchback,Agra,27.28,8,3.8,Tata,Tiago
936.0,Third Party insurance,Manual,80000.0,First Owner,Diesel,5,Hatchback,Agra,25.44,14,1.5,Chevrolet,Beat
1186.0,Third Party insurance,Manual,60000.0,First Owner,Diesel,5,Hatchback,Agra,24.0,8,5.1,Hyundai,Grand
